variant_code,variant,description,seed,split,n_eval,wl_token_count,system_token_count,feature_count,rmse,mae,r2,mean_log_predictive_density,coverage_90,predictive_sd_mean,nll
B,standard_covalent_graph_wl,atom labels plus a standard covalent bond-order adjacency graph,0,test,65,8168,0,8168,1.2307628019223695,0.7746178686918629,0.9301505536706154,-1.5645899387546347,0.9384615384615385,1.4499692387001684,285.8546826694914
B,standard_covalent_graph_wl,atom labels plus a standard covalent bond-order adjacency graph,1,train,577,8168,0,8168,0.024675736029238414,0.011121094802420411,0.9999604867246872,0.7156594496119164,1.0,0.19320094607264562,261.89947298500766
B,standard_covalent_graph_wl,atom labels plus a standard covalent bond-order adjacency graph,1,valid,64,8168,0,8168,1.3182523875866325,0.9196151988257959,0.9125430316354444,-1.6143471812504822,0.921875,1.563494374735272,259.32009604637557
B,standard_covalent_graph_wl,atom labels plus a standard covalent bond-order adjacency graph,1,test,65,8168,0,8168,1.0338666961068412,0.7166091105171368,0.8800850507989705,-1.4976150077112913,0.9692307692307692,1.5038059260182304,261.89947298500766
B,standard_covalent_graph_wl,atom labels plus a standard covalent bond-order adjacency graph,2,train,577,8168,0,8168,0.02412119114771787,0.010807998994085454,0.9999621304861398,0.7345901074317482,1.0,0.1895854689937031,262.6503736005627
B,standard_covalent_graph_wl,atom labels plus a standard covalent bond-order adjacency graph,2,valid,64,8168,0,8168,1.090243503542305,0.7511879539929485,0.9316843481182727,-1.8060732106967712,0.953125,1.3839467171127973,266.39560990818944
B,standard_covalent_graph_wl,atom labels plus a standard covalent bond-order adjacency graph,2,test,65,8168,0,8168,0.8883314100851774,0.6588657179548825,0.9178524288582717,-1.4816626122751086,0.9538461538461539,1.553446956191327,262.6503736005627
B,standard_covalent_graph_wl,atom labels plus a standard covalent bond-order adjacency graph,3,train,577,8168,0,8168,0.022068466849436853,0.009762217952598237,0.9999669900014141,0.7530891785258452,1.0,0.18640381608440695,277.6970402151014
B,standard_covalent_graph_wl,atom labels plus a standard covalent bond-order adjacency graph,3,valid,64,8168,0,8168,1.2144066393417952,0.768441877162257,0.8670867757754508,-1.5146422914166855,0.875,1.3802395895803077,262.8681697307669
B,standard_covalent_graph_wl,atom labels plus a standard covalent bond-order adjacency graph,3,test,65,8168,0,8168,1.0394181583556357,0.7451565381191578,0.9275697610992432,-1.4636005883283068,0.9230769230769231,1.3572663090519355,277.6970402151014
B,standard_covalent_graph_wl,atom labels plus a standard covalent bond-order adjacency graph,4,train,577,8168,0,8168,0.019839390876487235,0.008714188855319948,0.9999739001499366,0.8338112075479667,1.0,0.1719761022354987,270.97377498720994
B,standard_covalent_graph_wl,atom labels plus a standard covalent bond-order adjacency graph,4,valid,64,8168,0,8168,1.1989023193681343,0.7944785848796208,0.916740537124813,-1.4929551316103258,0.96875,1.5167981659619012,268.4309830589032
B,standard_covalent_graph_wl,atom labels plus a standard covalent bond-order adjacency graph,4,test,65,8168,0,8168,1.0066970699261102,0.6554101250668113,0.9164434307723216,-1.434492840222132,0.8923076923076924,1.3978034365534588,270.97377498720994
B,standard_covalent_graph_wl,atom labels plus a standard covalent bond-order adjacency graph,5,train,577,8168,0,8168,0.017950506186323184,0.007921707598557603,0.9999774617204515,0.9115699107162357,1.0,0.15917285698166725,274.3424420539034
B,standard_covalent_graph_wl,atom labels plus a standard covalent bond-order adjacency graph,5,valid,64,8168,0,8168,1.2325311035693034,0.779550363080842,0.8665898558432324,-1.4033863636802255,0.953125,1.4758631236268434,266.23188186908806
