dataset,representation,target,model,method,parameter_type,parameter_name,feature_group,equation_term,draw_count,runtime_seconds,posterior_mean,posterior_abs_mean,posterior_sd,posterior_median,posterior_p05,posterior_p95,importance_rank
freesolv,moladt_small_descriptors,expt,atom_bag10_rbf_gp,empirical_bayes_exact_gp,kernel_hyperparameter,target_scale,atom_bag,target_scale,1,0.20747420800034888,3.8012999237611993,3.8012999237611993,0.0,3.8012999237611993,3.8012999237611993,3.8012999237611993,5
freesolv,moladt_small_descriptors,expt,atom_bag10_rbf_gp,empirical_bayes_exact_gp,kernel_hyperparameter,signal_variance,atom_bag,signal_variance,1,0.21478362500056392,1.691561898838546,1.691561898838546,0.0,1.691561898838546,1.691561898838546,1.691561898838546,1
freesolv,moladt_small_descriptors,expt,atom_bag10_rbf_gp,empirical_bayes_exact_gp,kernel_hyperparameter,lengthscale,atom_bag,lengthscale,1,0.21478362500056392,1.3049544910142188,1.3049544910142188,0.0,1.3049544910142188,1.3049544910142188,1.3049544910142188,2
freesolv,moladt_small_descriptors,expt,atom_bag10_rbf_gp,empirical_bayes_exact_gp,kernel_hyperparameter,noise_variance,atom_bag,noise_variance,1,0.21478362500056392,0.08691156976163077,0.08691156976163077,0.0,0.08691156976163077,0.08691156976163077,0.08691156976163077,3
freesolv,moladt_small_descriptors,expt,atom_bag10_rbf_gp,empirical_bayes_exact_gp,kernel_hyperparameter,target_mean,atom_bag,target_mean,1,0.21478362500056392,-3.793466204506066,3.793466204506066,0.0,-3.793466204506066,-3.793466204506066,-3.793466204506066,4
freesolv,moladt_small_descriptors,expt,atom_bag10_rbf_gp,empirical_bayes_exact_gp,kernel_hyperparameter,target_scale,atom_bag,target_scale,1,0.21478362500056392,3.8669613029520447,3.8669613029520447,0.0,3.8669613029520447,3.8669613029520447,3.8669613029520447,5
freesolv,moladt_small_descriptors,expt,atom_bag10_rbf_gp,empirical_bayes_exact_gp,kernel_hyperparameter,signal_variance,atom_bag,signal_variance,1,0.2037936249980703,1.6128096538470174,1.6128096538470174,0.0,1.6128096538470174,1.6128096538470174,1.6128096538470174,1
freesolv,moladt_small_descriptors,expt,atom_bag10_rbf_gp,empirical_bayes_exact_gp,kernel_hyperparameter,lengthscale,atom_bag,lengthscale,1,0.2037936249980703,1.3138606478431925,1.3138606478431925,0.0,1.3138606478431925,1.3138606478431925,1.3138606478431925,2
freesolv,moladt_small_descriptors,expt,atom_bag10_rbf_gp,empirical_bayes_exact_gp,kernel_hyperparameter,noise_variance,atom_bag,noise_variance,1,0.2037936249980703,0.08984769583478493,0.08984769583478493,0.0,0.08984769583478493,0.08984769583478493,0.08984769583478493,3
freesolv,moladt_small_descriptors,expt,atom_bag10_rbf_gp,empirical_bayes_exact_gp,kernel_hyperparameter,target_mean,atom_bag,target_mean,1,0.2037936249980703,-3.750433275563258,3.750433275563258,0.0,-3.750433275563258,-3.750433275563258,-3.750433275563258,4
freesolv,moladt_small_descriptors,expt,atom_bag10_rbf_gp,empirical_bayes_exact_gp,kernel_hyperparameter,target_scale,atom_bag,target_scale,1,0.2037936249980703,3.8275011853084315,3.8275011853084315,0.0,3.8275011853084315,3.8275011853084315,3.8275011853084315,5
freesolv,moladt_small_descriptors,expt,atom_bag10_rbf_gp,empirical_bayes_exact_gp,kernel_hyperparameter,signal_variance,atom_bag,signal_variance,1,0.21016283399512758,1.7512755038368735,1.7512755038368735,0.0,1.7512755038368735,1.7512755038368735,1.7512755038368735,1
freesolv,moladt_small_descriptors,expt,atom_bag10_rbf_gp,empirical_bayes_exact_gp,kernel_hyperparameter,lengthscale,atom_bag,lengthscale,1,0.21016283399512758,1.2456977416526387,1.2456977416526387,0.0,1.2456977416526387,1.2456977416526387,1.2456977416526387,2
freesolv,moladt_small_descriptors,expt,atom_bag10_rbf_gp,empirical_bayes_exact_gp,kernel_hyperparameter,noise_variance,atom_bag,noise_variance,1,0.21016283399512758,0.09194189991249677,0.09194189991249677,0.0,0.09194189991249677,0.09194189991249677,0.09194189991249677,3
freesolv,moladt_small_descriptors,expt,atom_bag10_rbf_gp,empirical_bayes_exact_gp,kernel_hyperparameter,target_mean,atom_bag,target_mean,1,0.21016283399512758,-3.7911091854419414,3.7911091854419414,0.0,-3.7911091854419414,-3.7911091854419414,-3.7911091854419414,4
freesolv,moladt_small_descriptors,expt,atom_bag10_rbf_gp,empirical_bayes_exact_gp,kernel_hyperparameter,target_scale,atom_bag,target_scale,1,0.21016283399512758,3.7706734569703952,3.7706734569703952,0.0,3.7706734569703952,3.7706734569703952,3.7706734569703952,5
freesolv,moladt_small_descriptors,expt,atom_bag10_rbf_gp,empirical_bayes_exact_gp,kernel_hyperparameter,signal_variance,atom_bag,signal_variance,1,0.1986208330054069,1.522568303550331,1.522568303550331,0.0,1.522568303550331,1.522568303550331,1.522568303550331,1
freesolv,moladt_small_descriptors,expt,atom_bag10_rbf_gp,empirical_bayes_exact_gp,kernel_hyperparameter,lengthscale,atom_bag,lengthscale,1,0.1986208330054069,1.178892806932247,1.178892806932247,0.0,1.178892806932247,1.178892806932247,1.178892806932247,2
freesolv,moladt_small_descriptors,expt,atom_bag10_rbf_gp,empirical_bayes_exact_gp,kernel_hyperparameter,noise_variance,atom_bag,noise_variance,1,0.1986208330054069,0.0855528845060206,0.0855528845060206,0.0,0.0855528845060206,0.0855528845060206,0.0855528845060206,3
freesolv,moladt_small_descriptors,expt,atom_bag10_rbf_gp,empirical_bayes_exact_gp,kernel_hyperparameter,target_mean,atom_bag,target_mean,1,0.1986208330054069,-3.7432928942807626,3.7432928942807626,0.0,-3.7432928942807626,-3.7432928942807626,-3.7432928942807626,4
freesolv,moladt_small_descriptors,expt,atom_bag10_rbf_gp,empirical_bayes_exact_gp,kernel_hyperparameter,target_scale,atom_bag,target_scale,1,0.1986208330054069,3.826399256642203,3.826399256642203,0.0,3.826399256642203,3.826399256642203,3.826399256642203,5
